Scenarios, Precision, Model, TSize
1.0,1.0,LinearSVC,60/40
2.0,1.0,LinearSVC,60/40
3.0,1.0,LinearSVC,60/40
4.0,1.0,LinearSVC,60/40
5.0,1.0,LinearSVC,60/40
6.0,1.0,LinearSVC,60/40
7.0,1.0,LinearSVC,60/40
8.0,1.0,LinearSVC,60/40
9.0,1.0,LinearSVC,60/40
10.0,1.0,LinearSVC,60/40
11.0,1.0,LinearSVC,60/40
12.0,1.0,LinearSVC,60/40
13.0,1.0,LinearSVC,60/40
14.0,0.9997503744383425,LinearSVC,60/40
15.0,0.9997503744383425,LinearSVC,60/40
16.0,0.9997503744383425,LinearSVC,60/40
17.0,0.9997503744383425,LinearSVC,60/40
18.0,0.9977589641434262,LinearSVC,60/40
19.0,0.9908506429277942,LinearSVC,60/40
20.0,0.9977589641434262,LinearSVC,60/40
